"";"municipalities$address";"lon";"lat"
"1";"Abrahámovce, Bardejov, Slovakia";21,3434837;49,1614319
"2";"Adamovské Kochanovce, Trenčín, Slovakia";17,9275991;48,8525988
"3";"Andrejová, Bardejov, Slovakia";21,3326199;49,3342318
"4";"Báb, Nitra, Slovakia";17,8682559;48,3103344
"5";"Babindol, Nitra, Slovakia";18,2367973;48,2883065
"6";"Bačkov, Trebišov, Slovakia";21,6253616;48,7391072
"7";"Baďan, Banská Štiavnica, Slovakia";18,8406838;48,3316468
"8";"Bajany, Michalovce, Slovakia";22,1093992;48,6034714
"9";"Bajka, Levice, Slovakia";18,5186461;48,1510003
"10";"Baldovce, Levoča, Slovakia";20,7143092;48,9928915
"11";"Banka, Piešťany, Slovakia";17,8527523;48,5843408
"12";"Banská Belá, Banská Štiavnica, Slovakia";18,9333675;48,4753584
"13";"Banský Studenec, Banská Štiavnica, Slovakia";18,9707691;48,4463377
"14";"Bardoňovo, Nové Zámky, Slovakia";18,4218689;48,1097266
"15";"Baškovce, Humenné, Slovakia";21,8375646;49,0334514
"16";"Bátka, Rimavská Sobota, Slovakia";20,1663838;48,3804963
"17";"Becherov, Bardejov, Slovakia";21,3097143;49,4203374
"18";"Belá, Žilina, Slovakia";18,9429004;49,2398509
"19";"Belejovce, Svidník, Slovakia";21,5446474;49,3753845
"20";"Bellova Ves, Dunajská Streda, Slovakia";17,5110957;48,0882842
"21";"Belža, Košice - okolie, Slovakia";21,2741607;48,5807921
"22";"Beňatina, Sobrance, Slovakia";22,3206458;48,8062542
"23";"Beňuš, Brezno, Slovakia";19,7574755;48,8289606
"24";"Beša, Michalovce, Slovakia";21,9508021;48,5335783
"25";"Betliar, Rožňava, Slovakia";20,5093612;48,7036971
"26";"Bielovce, Levice, Slovakia";18,7736728;47,9922918
"27";"Bíňa, Nové Zámky, Slovakia";18,6389333;47,9198171
"28";"Bitarová, Žilina, Slovakia";18,671146;49,2070225
"29";"Blatné, Senec, Slovakia";17,417111;48,2669514
"30";"Blažice, Košice - okolie, Slovakia";21,4112488;48,6668518
